firstname,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou
adm_user1,Onprim,adm_user1,adm_user1@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user2,Onprim,adm_user2,adm_user2@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user3,Onprim,adm_user3,adm_user3@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user4,Onprim,adm_user4,adm_user4@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user5,Onprim,adm_user5,adm_user5@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user6,Onprim,adm_user6,adm_user6@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user7,Onprim,adm_user7,adm_user7@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user8,Onprim,adm_user8,adm_user8@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user9,Onprim,adm_user9,adm_user9@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user10,Onprim,adm_user10,adm_user10@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user11,Onprim,adm_user11,adm_user11@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user12,Onprim,adm_user12,adm_user12@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user13,Onprim,adm_user13,adm_user13@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user14,Onprim,adm_user14,adm_user14@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user15,Onprim,adm_user15,adm_user15@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user16,Onprim,adm_user16,adm_user16@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user17,Onprim,adm_user17,adm_user17@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user18,Onprim,adm_user18,adm_user18@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user19,Onprim,adm_user19,adm_user19@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
adm_user20,Onprim,adm_user20,adm_user20@labintra.ml,kamothe,navi mumbai,410209,Maharastra,india,sales,Welcome@1234,214-800-4820,Administrator,Labintra,"OU=User-test,DC=Test,DC=com"
